Scan,Image_name, PSNR, SSIM, MSE
8,0,27.0495,0.6401,53.333984
8,1,28.9141,0.6275,51.809082
8,2,27.3600,0.6181,53.483398
8,3,30.4334,0.6818,38.036865
8,4,27.5638,0.6097,56.382568
8,5,26.8728,0.7100,42.534912
8,6,27.4414,0.6251,50.954590
8,7,24.5244,0.6476,57.110352
8,8,27.0118,0.6322,50.891357
8,9,27.8611,0.6300,52.906006
8,10,26.4971,0.6224,60.919189
8,11,25.2745,0.6245,61.282959
8,12,24.7280,0.5813,62.418701
8,13,27.9968,0.6629,52.259766
8,14,24.2917,0.6621,58.491211
8,15,26.3098,0.6260,56.839111
8,16,29.1348,0.6670,44.047363
8,17,26.7246,0.6569,56.484375
8,18,24.4940,0.6699,48.038574
8,19,28.4258,0.6276,51.120361
8,20,26.3428,0.6348,57.751465
8,21,28.2138,0.6030,48.420654
8,22,26.1980,0.6947,47.368896
8,23,25.5019,0.6350,61.249023
8,24,26.0262,0.6322,52.728516
8,25,26.9211,0.6636,47.683350
8,26,26.3553,0.6169,51.505371
8,27,26.7439,0.6634,51.311279
8,28,25.0999,0.7030,50.825439
8,29,26.6624,0.6622,49.417725
8,30,22.2931,0.6854,70.505859
8,31,24.3924,0.6193,58.632568
8,32,27.9525,0.6586,50.252441
8,33,25.2617,0.7037,48.916016
8,34,27.4700,0.7284,40.184326
8,35,28.2177,0.6307,49.018555
8,36,27.2523,0.6448,48.794922
8,37,27.7760,0.6526,52.386719
8,38,26.8386,0.6884,48.340332
8,39,26.0073,0.6157,60.621826
8,40,27.5085,0.6832,48.155273
8,41,25.1463,0.6354,51.689209
8,42,27.3228,0.7559,35.885986
8,43,26.7525,0.6889,47.787598
8,44,24.7451,0.6721,48.369385
8,45,26.9143,0.6941,40.451660
8,46,28.1184,0.5909,51.723145
8,47,27.8290,0.7293,41.133301
8,48,26.4012,0.6963,42.483398
8,49,23.7293,0.6355,60.891846
8,50,28.5438,0.6565,48.553467
8,51,27.6925,0.6573,50.868652
8,52,27.4580,0.6112,51.942871
8,53,26.3116,0.5688,63.838135
8,54,25.9866,0.6898,47.588623
8,55,27.8292,0.6553,50.629150
8,56,27.2512,0.6572,49.387451
8,57,28.5140,0.6036,50.117920
8,58,25.2076,0.6478,50.718506
8,59,25.6954,0.7051,49.825684
8,60,23.1128,0.6711,65.855957
8,61,29.1741,0.7260,35.270752
8,62,26.8287,0.7112,39.836426
8,63,28.5910,0.6686,45.007324
8,64,26.5300,0.6364,52.820312
8,65,27.1640,0.7029,44.245361
8,66,28.4382,0.6577,47.916504
8,67,27.3202,0.6656,46.081543
8,68,27.7082,0.6407,54.844727
8,69,26.5892,0.6200,59.050049
8,70,23.9444,0.6788,60.270020
8,71,27.5628,0.6531,52.973145
8,72,26.7789,0.6600,52.829834
8,73,22.9065,0.6315,67.238281
8,74,25.5787,0.7128,44.224609
8,75,27.2425,0.6196,54.570557
8,76,27.0595,0.6241,56.288086
8,77,26.8472,0.6478,52.699951
8,78,26.5429,0.6631,50.015625
8,79,27.2440,0.6304,53.592041
8,80,27.3480,0.6529,52.564941
8,81,23.4168,0.6611,62.637451
8,82,23.8280,0.7010,53.827881
8,83,24.0549,0.5448,71.807373
8,84,27.9800,0.6765,43.846924
8,85,27.4663,0.6599,50.719971
8,86,26.1645,0.6383,56.764160
8,87,26.2751,0.5828,55.309570
8,88,26.4887,0.6491,51.826416
8,89,24.1597,0.6576,51.773438
8,90,25.7823,0.6590,55.480225
8,91,26.8762,0.6439,57.179932
8,92,28.0853,0.5806,51.553223
8,93,25.9321,0.6550,49.971436
8,94,26.8952,0.6279,50.037109
8,95,26.7043,0.7565,35.633545
8,96,25.9069,0.7201,44.937500
8,97,27.0133,0.6688,46.471680
8,98,26.8430,0.6688,45.332031
8,99,27.3180,0.6637,46.581543
8,100,26.6547,0.6720,51.790527
8,101,27.9828,0.6064,48.655029
8,102,25.9418,0.6786,46.974854
8,103,27.3728,0.6254,55.945068
8,104,28.7710,0.7374,35.918213
8,105,27.4080,0.6351,49.796631
8,106,26.8180,0.6249,58.044434
8,107,26.1035,0.6413,59.176514
8,108,23.4973,0.6210,70.576904
